,match_id,city,stadium,venue_id,country
18241,12373122,Bol,Court 1,44518,Croatia
18242,12373124,Bol,Court 10,44510,Croatia
18243,12373127,Bol,Court 1,44518,Croatia
18244,12373132,Bol,Court 9,44512,Croatia
18245,12373148,Vrhnika,Court 2,44588,Slovenia
18246,12373187,Brescia,CENTER (Court 2),22007,Italy
18247,12373188,Brescia,CENTER (Court 2),22007,Italy
18248,12373191,Brescia,Court 4,22006,Italy
18249,12373192,Brescia,Court 3,19623,Italy
18250,12373199,Brescia,Court 3,19623,Italy
18251,12373235,Otocec,Court 3,29458,Slovenia
18252,12373248,Troisdorf,Show Court 1 (3),44581,Germany
18253,12373255,Troisdorf,M.A.R.A. Court (2),39713,Germany
18254,12373258,Troisdorf,M.A.R.A. Court (2),39713,Germany
18255,12373272,Constanta,Court 4,36257,Romania
18256,12373356,Montemor-O-Novo,Court 3,23488,Portugal
18257,12373362,Brescia,Court 3,19623,Italy
18258,12373363,Brescia,Court 4,22006,Italy
18259,12373510,Montemor-O-Novo,Court 1,23533,Portugal
18260,12373584,Santo Domingo,Stadium,19916,Dominican Republic
18261,12373585,Santo Domingo,Stadium,19916,Dominican Republic
18262,12373586,Santo Domingo,Court 3,40143,Dominican Republic
18263,12373587,Santo Domingo,Court 3,40143,Dominican Republic
18264,12373588,Santo Domingo,Court 1,19914,Dominican Republic
18265,12373589,Santo Domingo,Court 2,19915,Dominican Republic
18266,12373590,Santo Domingo,Court 2,19915,Dominican Republic
18267,12373668,Santo Domingo,Court 2,19915,Dominican Republic
18268,12373669,Santo Domingo,Stadium,19916,Dominican Republic
18269,12373670,Santo Domingo,Court 2,19915,Dominican Republic
18270,12373671,Rio Claro,Court 1,44595,Brazil
18271,12373672,Kingston,T JAMAICA # 1,44416,Jamaica
18272,12373673,Kingston,LIGUANEA Court H,44448,Jamaica
18273,12373674,Kingston,LIGUANEA Court H,44448,Jamaica
18274,12373675,Kingston,T JAMAICA # 3,44419,Jamaica
18275,12373676,Kingston,T JAMAICA # 3,44419,Jamaica
18276,12373677,Kingston,T JAMAICA # 3,44419,Jamaica
18277,12373678,Kingston,T JAMAICA # 1,44416,Jamaica
18278,12373680,Kingston,T JAMAICA # 1,44416,Jamaica
18279,12373730,Little Rock,Court 13,25340,USA
18280,12373731,Little Rock,Stadium,25339,USA
18281,12373732,Little Rock,Court 13,25340,USA
18282,12373733,Little Rock,Court 1,25341,USA
18283,12373734,Little Rock,Court 13,25340,USA
18284,12373735,Little Rock,Stadium,25339,USA
18285,12373738,Santo Domingo,Court 2,19915,Dominican Republic
18286,12373739,Santo Domingo,Court 1,19914,Dominican Republic
18287,12373740,Santo Domingo,Court 1,19914,Dominican Republic
18288,12373741,Santo Domingo,Court 4,40142,Dominican Republic
18289,12373767,Rio Claro,Court 3,44593,Brazil
18290,12373768,Rio Claro,Court 5,44597,Brazil
18291,12373769,Rio Claro,Center Court,44594,Brazil
18292,12373770,Rio Claro,Court 3,44593,Brazil
18293,12373771,Rio Claro,Court 1,44595,Brazil
18294,12373772,Rio Claro,Center Court,44594,Brazil
18295,12373774,Rio Claro,Court 5,44597,Brazil
18296,12373775,Rio Claro,Center Court,44594,Brazil
18297,12373776,Rio Claro,Court 5,44597,Brazil
18298,12373777,Rio Claro,Center Court,44594,Brazil
18299,12373779,Rio Claro,Court 3,44593,Brazil
18300,12373780,Rio Claro,Center Court,44594,Brazil
18301,12373798,Rio Claro,Court 1,44595,Brazil
18302,12373815,San Diego,Court 16,35109,USA
18303,12373816,San Diego,Court 12,40046,USA
